K,Cluster,Centroid
21,16,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
21,17,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
21,18,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
21,19,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
21,20,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
21,21,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
22,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
22,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
22,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
22,4,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
22,5,"[ 1.946219,-0.055009, 0.241617,-0.618578,-0.863931,-0.50595 ,-0.144368]"
22,6,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
22,7,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
22,8,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
22,9,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
22,10,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
22,11,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
22,12,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
22,13,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
22,14,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
22,15,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
22,16,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
22,17,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
22,18,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
22,19,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
22,20,"[-1.124842, 1.23336 , 1.362342,-0.295648,-0.306408,-0.653676,-0.215128]"
22,21,"[-1.490744, 1.011647,-0.965277,-0.266534, 1.086434,-0.121426, 0.7459  ]"
22,22,"[-1.379962, 1.648983,-0.139029,-0.395552,-0.677504, 0.086127, 0.856937]"
23,1,"[ 1.017993, 0.732938, 0.935336, 0.147212,-0.356648,-1.046974,-1.429857]"
23,2,"[ 1.957238,-0.574305, 0.014718, 0.395656,-0.427036,-0.683738,-0.682532]"
23,3,"[ 1.827745, 0.559855,-0.880108,-0.939461,-0.458936,-0.126236, 0.017142]"
23,4,"[ 1.605023, 0.861254, 0.291628,-0.504404,-0.814155,-0.676002,-0.763345]"
23,5,"[ 1.946219,-0.055009, 0.241617,-0.618578,-0.863931,-0.50595 ,-0.144368]"
23,6,"[ 1.18624 , 1.064252, 0.339788,-1.459169,-0.439543, 0.280012,-0.97158 ]"
23,7,"[ 0.373347,-1.836226,-0.795586, 0.02915 , 0.525202, 0.784363, 0.91975 ]"
23,8,"[ 1.363678,-1.635483,-0.438425, 0.343448,-0.474452, 0.439089, 0.402146]"
23,9,"[ 1.206584,-1.995975, 0.586913, 0.372343,-0.046677, 0.121935,-0.245124]"
23,10,"[ 1.76604 ,-0.560785, 0.124354,-0.593465,-0.951423, 0.722954,-0.507674]"
23,11,"[ 1.650994,-0.745605,-0.403527,-0.789679,-0.759935, 0.109286, 0.938467]"
23,12,"[-0.04003 ,-0.903922,-0.368972,-0.509306,-0.457488, 0.145391, 2.134328]"
23,13,"[-1.142201,-1.004793,-0.774739, 0.157555, 0.987824, 0.801299, 0.975056]"
23,14,"[-2.028   , 0.698047, 0.696957, 0.291847, 0.487349,-0.119102,-0.027097]"
23,15,"[-1.395957,-0.413223,-0.410568, 0.152421, 1.242462, 1.257754,-0.432889]"
23,16,"[-1.676944,-0.54608 , 0.264813, 0.103038, 1.337708,-0.319769, 0.837237]"
23,17,"[-1.713745, 0.026493, 0.426783, 0.931337, 1.074055,-0.618244,-0.126679]"
23,18,"[-1.878267,-0.377639, 0.115743, 0.750526, 0.942143, 0.422947, 0.024547]"
23,19,"[-0.613241,-1.769353, 0.867171, 0.942038, 0.892601,-0.103845,-0.215371]"
