K,Cluster,Centroid
23,17,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
23,18,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
23,19,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
23,20,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
23,21,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
23,22,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
23,23,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
24,1,"[0.048538,0.680219,0.659499,0.695293,0.681058,0.381204,0.428547]"
24,2,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
24,3,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
24,4,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
24,5,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
24,6,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
24,7,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
24,8,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
24,9,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
24,10,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
24,11,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
24,12,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
24,13,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
24,14,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
24,15,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
24,16,"[0.962563,0.45985 ,0.48422 ,0.375195,0.181538,0.276231,0.411676]"
24,17,"[0.869598,0.71937 ,0.58277 ,0.380967,0.174286,0.182644,0.242986]"
24,18,"[0.765586,0.818444,0.573046,0.080011,0.315252,0.534   ,0.151241]"
24,19,"[0.805117,0.114579,0.31293 ,0.683436,0.303078,0.59305 ,0.526642]"
24,20,"[0.770119,0.020593,0.655647,0.693108,0.452262,0.47532 ,0.349761]"
24,21,"[0.892508,0.42783 ,0.502855,0.341563,0.116207,0.674704,0.301238]"
24,22,"[0.871941,0.362514,0.337714,0.302858,0.172677,0.45828 ,0.676616]"
24,23,"[0.835968,0.233984,0.231883,0.326721,0.413714,0.5543  ,0.662943]"
24,24,"[0.492393,0.305309,0.336145,0.397977,0.308994,0.484027,1.      ]"
25,1,"[0.019574,0.624925,0.639508,0.659777,0.699532,0.484855,0.476588]"
25,2,"[0.089914,0.75921 ,0.688058,0.74603 ,0.654668,0.233132,0.359916]"
25,3,"[0.187541,0.171492,0.645734,0.609437,0.826134,0.652919,0.558904]"
25,4,"[0.36469 ,0.079677,0.749323,0.883813,0.779829,0.391509,0.357892]"
25,5,"[0.127714,0.398604,0.547986,0.602959,0.935057,0.311356,0.645541]"
25,6,"[0.190314,0.433242,0.322241,0.61949 ,0.901841,0.896945,0.298451]"
25,7,"[0.09324 ,0.427248,0.492733,0.838795,0.808883,0.579635,0.411824]"
25,8,"[0.584487,0.062242,0.19355 ,0.578225,0.651701,0.721219,0.668089]"
25,9,"[0.250146,0.274435,0.193764,0.626451,0.822689,0.72522 ,0.679313]"
25,10,"[0.183047,0.38857 ,0.29513 ,0.510669,0.605687,0.784552,0.779993]"
25,11,"[0.169197,0.804729,0.136831,0.479245,0.847427,0.384983,0.620581]"
25,12,"[0.250714,0.862533,0.914833,0.469499,0.361682,0.187407,0.357958]"
25,13,"[0.193877,0.970893,0.413003,0.436056,0.232265,0.462028,0.650924]"
25,14,"[0.808265,0.586396,0.727788,0.642266,0.346266,0.088046,0.0606  ]"
25,15,"[0.94552 ,0.409894,0.412971,0.703429,0.305288,0.179694,0.24934 ]"
25,16,"[0.915721,0.702376,0.205428,0.290502,0.317594,0.322936,0.371005]"
